Year,Domestic.car,Imported.car,Light.truck
1980,22.6,29.6,18.5
1985,26.3,31.5,20.7
1990,26.9,29.9,20.8
1991,27.3,30.1,21.3
1992,27,29.2,20.8
1993,27.8,29.6,21
1994,27.5,29.7,20.8
1995,27.7,30.3,20.5
1996,28.1,29.6,20.8
1997,27.8,30.1,20.6
1998,28.6,29.2,21
1999,28,29,20.9
2000,28.7,28.3,21.3
2001,28.7,29,20.9
2002,29.1,28.8,21.4
2003,29.1,29.9,21.8
2004,29.9,28.7,21.5
2005,30.5,29.9,22.1
2006,30.3,29.7,22.5
2007,30.6,32.2,23.1
2008,31.2,31.8,23.6
2009,32.1,33.8,24.8
2010,33.1,35.2,25.2
2001,32.7,33.7,24.7
2012,34.4,36.4,25
2013,35.5,37.1,25.3
