Year,Australia,Bahamas,Barbados,Belgium,Bermuda,Brazil,Canada,China,Colombia,Denmark,Dominican Republic,France,Germany,Grand Cayman,Greece,Haiti,Hong Kong,Ireland,Israel,Italy,Jamaica,Japan,Korea,Mexico,Netherlands,Netherland Antilles,Panama Republic,Philippines,Spain,Switzerland,UK,Venezuela
1975,106,758,76,144,398,212,NA,50,173,222,336,512,622,25,121,91,98,220,84,431,457,1095,105,1626,312,213,97,108,306,236,1549,205
1980,227,1123,135,242,497,300,NA,113,315,267,468,689,1175,121,208,133,228,220,189,537,429,1624,234,2886,427,327,150,194,312,312,2973,533
1985,277,1503,216,281,434,352,NA,206,279,241,606,955,1582,173,187,192,270,274,294,662,707,2435,390,2719,583,407,180,145,419,452,3460,248
1990,495,1679,228,417,487,584,6870,325,286,313,948,1777,2466,273,132,233,356,448,204,792,975,4528,826,4313,837,388,153,246,558,616,5166,458
1991,561,1436,197,366,430,635,6263,404,305,279,849,1600,2444,256,83,217,397,418,202,716,907,4510,827,4467,892,353,175,261,520,525,4793,510
1992,598,1341,191,357,405,645,6546,447,343,295,951,1926,2797,229,146,154,437,569,231,885,888,4972,971,4625,1039,290,177,315,659,549,5651,576
1993,591,1370,208,408,436,711,6843,606,389,285,1027,1877,2922,185,165,200,511,582,293,903,982,4999,1070,4778,1297,360,201,318,600,603,6006,653
1994,551,1424,196,377,447,878,6812,830,443,267,1070,2017,2883,294,201,137,558,660,332,953,1040,5149,1166,5107,1427,390,221,375,578,676,6087,702
1995,581,1433,222,379,426,1112,7417,972,481,221,1136,2045,3125,314,220,314,658,642,412,1007,1124,5676,1335,4884,1580,339,225,397,604,733,6648,786
1996,622,1487,212,407,363,1176,8501,1017,499,236,1168,2178,3173,323,235,303,668,721,483,1047,1136,6349,1514,5591,1774,305,229,379,618,790,7131,659
1997,618,1530,203,589,425,1388,8895,1068,586,252,1168,2323,3545,328,186,289,589,716,482,1097,1162,6736,1625,6124,2074,368,227,410,675,910,7935,709
1998,613,1396,195,715,407,1377,9613,1080,606,225,1251,2523,3558,370,192,293,592,775,502,1078,1219,6630,1184,6318,2213,382,267,275,732,1068,8640,810
1999,670,1337,197,730,384,1154,9676,1170,649,223,1368,2591,3491,335,191,327,650,950,547,1171,1209,6991,1240,6576,2318,371,308,331,734,1026,8780,794
2000,812,1471,208,778,374,1280,10236,1186,674,232,1498,3147,3886,343,195,303,731,1064,577,1511,1248,6974,1470,6999,2401,389,359,405,827,1069,9382,718
2001,739,1458,191,598,334,1094,9166,1092,683,240,1430,3023,3519,317,135,317,735,992,400,1269,1226,5876,1262,6591,2132,371,343,400,758,913,8435,730
2002,724,1430,206,330,312,977,8686,1024,590,309,1409,2879,3483,291,108,338,697,848,343,1082,1238,5666,1253,6349,2104,371,339,365,769,701,8217,556
2003,674,1491,218,305,310,949,8380,846,618,314,1593,2735,3673,287,101,353,519,1025,356,983,1226,5261,1192,6753,2055,401,370,339,809,699,8281,400
2004,758,1500,229,375,311,1010,9189,986,658,314,1745,2965,3955,284,129,312,796,1105,449,1220,1267,6071,1364,7604,2213,422,387,414,872,707,8801,527
2005,789,1554,205,382,323,1087,9785,1085,594,278,1805,2970,4177,171,129,247,893,1243,512,1254,1200,6263,1439,8075,2252,397,364,383,772,711,8654,449
2006,808,1509,230,364,358,1154,NA,1141,787,350,1961,2941,4252,303,163,302,1002,1319,576,1301,1499,5769,1545,8471,1944,441,468,496,855,712,8432,535
2007,625,1459,213,418,374,1219,NA,1169,815,345,1893,2935,4811,314,193,370,969,1378,542,1369,1424,5849,1609,8672,2304,425,502,422,905,761,8598,561
2008,504,1363,208,615,325,1318,NA,1102,893,427,1927,3216,5121,321,218,382,1018,1361,670,1528,1444,5474,1676,8847,2497,476,653,447,1103,857,8810,553
2009,753,1266,202,605,315,1413,NA,956,998,353,2044,3037,4866,322,177,419,1043,1212,665,1429,1451,4978,1676,7857,2194,471,693,416,1162,872,8018,559
2010,1133,1371,229,549,304,1692,NA,1023,1245,344,2359,3079,4777,332,150,428,1092,873,653,1350,1521,5062,1998,9057,2252,528,764,447,1366,918,8004,561
2011,1217,1292,233,576,312,1911,11955,904,1149,310,2385,2938,4854,347,148,502,1210,919,738,1459,1507,5180,2178,9291,1975,533,862,405,1527,983,8313,618
